Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
6500,6450.0,0.1038,60,home_improvement,6.86%,KY,MORTGAGE,2738.67,755-759,10.0,2345.0,1.0,8 years
9950,9950.0,0.1433,36,debt_consolidation,4.19%,NJ,MORTGAGE,4800.0,685-689,9.0,5038.0,1.0,5 years
5000,5000.0,0.0991,36,debt_consolidation,28.77%,OH,RENT,3166.67,750-754,3.0,0.0,1.0,n/a
6000,6000.0,0.1311,36,debt_consolidation,19.97%,PA,MORTGAGE,5833.33,685-689,6.0,5523.0,1.0,1 year
5600,5600.0,0.079,36,debt_consolidation,16.54%,FL,RENT,1916.67,705-709,8.0,3373.0,0.0,5 years
15000,15000.0,0.1299,60,debt_consolidation,17.45%,NY,RENT,5666.67,715-719,13.0,10855.0,0.0,3 years
3000,3000.0,0.1114,36,small_business,1.70%,NY,MORTGAGE,7750.0,685-689,7.0,874.0,0.0,10+ years
12000,12000.0,0.1777,36,credit_card,9.86%,MA,RENT,3083.33,665-669,10.0,4390.0,0.0,4 years
6400,6375.0,0.1171,36,credit_card,14.88%,VA,RENT,4166.67,680-684,7.0,15055.0,0.0,1 year
25000,25000.0,0.0991,36,debt_consolidation,15.38%,FL,RENT,5500.0,730-734,9.0,11395.0,0.0,3 years
12000,12000.0,0.1199,60,home_improvement,4.30%,GA,MORTGAGE,3583.33,755-759,5.0,3942.0,2.0,2 years
10000,10000.0,0.1596,36,debt_consolidation,13.09%,CA,RENT,4416.67,665-669,9.0,23870.0,1.0,10+ years
9750,9750.0,0.2049,36,other,10.55%,WA,RENT,3033.33,660-664,13.0,8688.0,1.0,4 years
10000,10000.0,0.1409,36,debt_consolidation,15.02%,RI,MORTGAGE,6000.0,685-689,13.0,8178.0,0.0,8 years
25000,25000.0,0.1972,60,debt_consolidation,1.31%,MN,MORTGAGE,5666.67,700-704,6.0,92.0,0.0,10+ years
5000,5000.0,0.1422,36,other,18.73%,CA,MORTGAGE,8583.0,670-674,9.0,8097.0,1.0,1 year
6500,6500.0,0.0579,36,credit_card,22.84%,TX,MORTGAGE,6400.0,730-734,11.0,7435.0,0.0,8 years
8325,8325.0,0.1531,36,debt_consolidation,15.22%,NY,RENT,2916.67,670-674,13.0,7171.0,0.0,4 years
20000,20000.0,0.1531,60,small_business,13.94%,FL,MORTGAGE,8333.33,710-714,15.0,22246.0,0.0,10+ years
12000,12000.0,0.1212,36,credit_card,20.32%,AL,MORTGAGE,5166.67,710-714,9.0,10054.0,1.0,4 years
12000,11862.38,0.0579,60,debt_consolidation,22.13%,WI,MORTGAGE,4166.67,780-784,12.0,14464.0,1.0,10+ years
7200,7200.0,0.1149,60,debt_consolidation,16.78%,CA,RENT,2944.0,715-719,11.0,5459.0,0.0,6 years
10000,10000.0,0.1212,36,home_improvement,13.49%,TX,MORTGAGE,3113.83,690-694,9.0,6634.0,0.0,4 years
5000,5000.0,0.079,36,wedding,16.44%,NC,MORTGAGE,2298.75,720-724,10.0,12346.0,0.0,10+ years
20000,19925.0,0.1212,36,credit_card,10.32%,TX,RENT,3750.0,720-724,6.0,15762.0,0.0,2 years
12300,12300.0,0.1531,36,debt_consolidation,19.26%,OH,MORTGAGE,5000.0,710-714,13.0,4460.0,2.0,10+ years
1675,1675.0,0.1111,36,debt_consolidation,4.81%,CA,RENT,2080.0,690-694,4.0,1466.0,0.0,3 years
7500,7500.0,0.1704,36,car,4.92%,CA,RENT,4000.0,685-689,3.0,8398.0,0.0,7 years
5000,5000.0,0.1099,36,moving,23.25%,NJ,RENT,2000.0,690-694,8.0,8339.0,0.0,< 1 year
19125,19125.0,0.1825,60,other,15.69%,CA,OWN,3333.33,690-694,8.0,7858.0,0.0,5 years
7000,6975.0,0.0962,36,debt_consolidation,22.69%,IL,MORTGAGE,3275.0,710-714,8.0,14075.0,1.0,9 years
5000,5000.0,0.1212,36,debt_consolidation,16.97%,WA,MORTGAGE,6800.0,675-679,16.0,25524.0,0.0,10+ years
2225,2225.0,0.1465,36,credit_card,24.09%,WV,MORTGAGE,3250.0,670-674,9.0,26854.0,1.0,n/a
4000,4000.0,0.1016,36,major_purchase,4.58%,IL,RENT,3168.0,715-719,5.0,6916.0,2.0,< 1 year
16000,16000.0,0.079,36,debt_consolidation,2.23%,CA,MORTGAGE,7083.33,740-744,11.0,3076.0,0.0,5 years
15500,15500.0,0.1777,36,debt_consolidation,27.60%,VA,OWN,3333.33,675-679,10.0,8692.0,0.0,4 years
16000,16000.0,0.1311,60,debt_consolidation,14.88%,OK,MORTGAGE,7916.67,695-699,9.0,22918.0,2.0,10+ years
9000,9000.0,0.1306,60,debt_consolidation,5.74%,CA,RENT,3678.08,710-714,8.0,7556.0,2.0,4 years
10000,10000.0,0.1059,36,debt_consolidation,7.43%,CA,RENT,3833.33,735-739,3.0,10187.0,0.0,10+ years
18000,18000.0,0.1531,60,other,22.93%,FL,RENT,5734.08,710-714,13.0,2819.0,0.0,4 years
10000,10000.0,0.0662,36,debt_consolidation,19.05%,WA,MORTGAGE,5208.33,740-744,8.0,28302.0,0.0,10+ years
25975,25975.0,0.1311,60,house,15.51%,WA,MORTGAGE,4583.33,735-739,6.0,3607.0,0.0,9 years
10350,10350.0,0.1409,36,car,20.46%,NY,RENT,3333.33,690-694,10.0,10841.0,1.0,1 year
10850,10850.0,0.1777,36,debt_consolidation,33.90%,PA,OWN,2708.33,660-664,7.0,9577.0,0.0,8 years
4075,4075.0,0.0542,36,home_improvement,23.41%,NC,MORTGAGE,3750.0,770-774,6.0,34103.0,1.0,6 years
14500,10168.89,0.1075,60,credit_card,14.26%,CA,MORTGAGE,3584.62,755-759,6.0,18555.0,0.0,10+ years
12000,12000.0,0.1016,36,debt_consolidation,27.48%,VA,MORTGAGE,5000.0,710-714,12.0,10490.0,0.0,7 years
1000,1000.0,0.2295,36,other,19.78%,NY,RENT,884.9,665-669,4.0,5561.0,0.0,n/a
5900,5900.0,0.1311,36,debt_consolidation,14.19%,FL,MORTGAGE,3010.0,700-704,8.0,5921.0,0.0,10+ years
9950,9925.0,0.1311,36,debt_consolidation,24.21%,MI,MORTGAGE,2500.0,705-709,17.0,16618.0,1.0,10+ years
7200,7200.0,0.0603,36,debt_consolidation,17.27%,NY,MORTGAGE,3416.67,790-794,14.0,4838.0,0.0,10+ years
14750,14750.0,0.1677,60,debt_consolidation,17.32%,NM,MORTGAGE,2500.0,685-689,8.0,11003.0,1.0,8 years
20000,20000.0,0.1491,36,debt_consolidation,19.43%,VA,MORTGAGE,6250.0,715-719,12.0,14308.0,1.0,5 years
18400,18375.0,0.1942,60,debt_consolidation,22.53%,VA,MORTGAGE,7400.0,705-709,14.0,10439.0,2.0,10+ years
7200,4167.97,0.1411,36,other,13.62%,PA,OWN,3583.0,700-704,3.0,1621.0,1.0,1 year
8000,8000.0,0.1212,36,debt_consolidation,24.98%,MA,RENT,3166.67,690-694,10.0,5428.0,0.0,10+ years
4000,4000.0,0.089,36,small_business,13.16%,CA,MORTGAGE,5166.67,720-724,9.0,7171.0,2.0,3 years
6250,6100.0,0.1025,36,debt_consolidation,18.04%,FL,MORTGAGE,2400.0,720-724,5.0,14863.0,0.0,10+ years
5375,5375.0,0.1409,36,car,15.05%,TX,MORTGAGE,5416.67,685-689,13.0,4087.0,2.0,1 year
8875,8875.0,0.1531,36,debt_consolidation,14.90%,SC,RENT,2302.0,665-669,8.0,10008.0,0.0,n/a
7000,7000.0,0.1065,36,debt_consolidation,7.38%,CA,RENT,3333.33,700-704,7.0,12168.0,0.0,< 1 year
21250,21250.0,0.1875,36,credit_card,26.53%,LA,OWN,4500.0,670-674,15.0,25287.0,2.0,10+ years
3600,3600.0,0.1972,60,car,22.22%,KS,MORTGAGE,3200.0,680-684,13.0,11702.0,0.0,< 1 year
12000,12000.0,0.1433,36,debt_consolidation,28.20%,KY,MORTGAGE,3333.33,670-674,11.0,10727.0,0.0,10+ years
10050,10050.0,0.1433,36,credit_card,16.48%,CA,RENT,2500.0,690-694,7.0,13337.0,2.0,< 1 year
4025,4025.0,0.089,36,credit_card,15.32%,CA,MORTGAGE,5000.0,700-704,12.0,15943.0,0.0,8 years
5000,5000.0,0.0662,36,debt_consolidation,1.20%,GA,RENT,5000.0,780-784,8.0,531.0,1.0,2 years
16500,16400.0,0.1171,60,small_business,12.07%,OH,MORTGAGE,2750.0,775-779,11.0,2316.0,1.0,4 years
10000,10000.0,0.0729,36,home_improvement,7.94%,CA,MORTGAGE,5833.33,735-739,12.0,3181.0,0.0,8 years
10000,10000.0,0.0603,36,debt_consolidation,24.66%,OH,MORTGAGE,2940.25,755-759,8.0,5904.0,0.0,10+ years
10000,10000.0,0.089,36,credit_card,22.66%,MN,RENT,2083.33,715-719,8.0,12724.0,0.0,9 years
18000,18000.0,0.079,36,credit_card,18.36%,GA,RENT,5833.33,730-734,16.0,12522.0,0.0,< 1 year
22000,21975.0,0.2247,60,debt_consolidation,33.93%,WV,MORTGAGE,5083.33,670-674,14.0,31152.0,2.0,10+ years
5600,5600.0,0.0662,36,wedding,7.23%,NC,MORTGAGE,5833.33,750-754,8.0,8125.0,1.0,2 years
9500,9500.0,0.1212,36,debt_consolidation,24.06%,MO,MORTGAGE,2519.17,705-709,7.0,8673.0,1.0,10+ years
12000,12000.0,0.1311,36,debt_consolidation,17.51%,SC,MORTGAGE,9666.67,680-684,12.0,17226.0,0.0,5 years
7200,7200.0,0.1037,36,debt_consolidation,8.92%,FL,MORTGAGE,4416.67,675-679,10.0,4137.0,0.0,2 years
5000,5000.0,0.158,36,debt_consolidation,25.53%,NC,RENT,6612.0,665-669,6.0,14283.0,0.0,10+ years
8250,8086.75,0.1596,60,home_improvement,15.60%,NY,MORTGAGE,2917.0,695-699,13.0,4479.0,1.0,2 years
10075,10075.0,0.1581,60,debt_consolidation,23.80%,DE,MORTGAGE,6583.33,700-704,15.0,13259.0,1.0,1 year
9050,9050.0,0.1311,36,credit_card,20.58%,MI,MORTGAGE,5166.67,700-704,9.0,7571.0,1.0,7 years
17500,17500.0,0.1016,36,credit_card,23.64%,CA,MORTGAGE,3333.33,700-704,10.0,21483.0,0.0,8 years
10000,5334.01,0.0691,36,car,8.83%,TX,RENT,4166.67,730-734,5.0,6381.0,0.0,1 year
10000,10000.0,0.089,36,other,20.10%,MO,RENT,2870.42,715-719,11.0,18802.0,0.0,3 years
8500,8500.0,0.158,36,debt_consolidation,17.40%,MI,RENT,2500.0,690-694,6.0,6491.0,1.0,1 year
16000,15975.0,0.1465,36,debt_consolidation,20.15%,NC,RENT,3666.67,675-679,15.0,6875.0,0.0,4 years
2350,2350.0,0.1409,36,credit_card,11.18%,WA,MORTGAGE,1833.33,725-729,3.0,7463.0,1.0,n/a
10000,9924.07,0.0729,36,medical,4.70%,NY,RENT,6083.33,730-734,10.0,7337.0,1.0,3 years
6000,6000.0,0.1311,36,credit_card,16.75%,OH,MORTGAGE,4166.67,670-674,9.0,4500.0,0.0,< 1 year
4000,4000.0,0.1311,36,credit_card,11.80%,NY,RENT,5416.67,685-689,12.0,6616.0,1.0,1 year
11500,11500.0,0.1114,36,credit_card,18%,WA,RENT,2916.67,715-719,14.0,13851.0,1.0,5 years
15250,13914.17,0.1649,60,debt_consolidation,20.57%,FL,RENT,2916.67,690-694,10.0,17931.0,0.0,< 1 year
5000,5000.0,0.1268,36,debt_consolidation,9.20%,FL,RENT,3500.0,695-699,6.0,3555.0,0.0,1 year
6000,6000.0,0.079,36,wedding,20.75%,IL,RENT,3750.0,715-719,12.0,4318.0,0.0,10+ years
18225,18225.0,0.1629,60,credit_card,22.61%,PA,RENT,3166.67,710-714,7.0,12233.0,2.0,4 years
15000,15000.0,0.1038,36,debt_consolidation,16.87%,IL,MORTGAGE,6312.0,735-739,17.0,14339.0,2.0,2 years
4000,3882.78,0.0579,36,moving,23.94%,OH,RENT,4666.67,760-764,7.0,2889.0,2.0,9 years
27000,27000.0,0.1212,60,debt_consolidation,17.82%,TX,MORTGAGE,7083.33,715-719,13.0,25137.0,0.0,8 years
15000,14925.0,0.1385,36,other,5.10%,NY,RENT,3000.0,705-709,4.0,5936.0,1.0,3 years
4950,4950.0,0.1016,36,other,16.75%,CA,RENT,1403.33,725-729,4.0,2738.0,1.0,2 years
21000,20925.0,0.1,36,credit_card,14.08%,CA,RENT,6250.0,730-734,8.0,21102.0,0.0,2 years
9000,9000.0,0.1531,36,credit_card,15.88%,NY,RENT,5000.0,675-679,7.0,4532.0,1.0,10+ years
8000,8000.0,0.1905,36,debt_consolidation,2.83%,NY,RENT,3333.33,660-664,4.0,2832.0,0.0,n/a
23000,21457.14,0.0691,60,debt_consolidation,12.39%,NH,MORTGAGE,4583.33,760-764,6.0,17695.0,2.0,4 years
5000,4947.35,0.0999,60,credit_card,10.80%,CA,RENT,6400.0,730-734,8.0,5783.0,0.0,< 1 year
10000,10000.0,0.1242,36,credit_card,9.77%,CA,RENT,3500.0,705-709,9.0,10912.0,1.0,2 years
24000,23975.0,0.1016,36,debt_consolidation,15.53%,OH,MORTGAGE,5416.67,720-724,11.0,17882.0,0.0,10+ years
24000,24000.0,0.079,36,debt_consolidation,13.55%,GA,MORTGAGE,7233.33,705-709,6.0,26039.0,0.0,< 1 year
15475,15450.0,0.1409,36,debt_consolidation,26.98%,SC,MORTGAGE,3750.0,685-689,14.0,19670.0,0.0,10+ years
25000,25000.0,0.21,36,debt_consolidation,9.52%,NY,RENT,8333.33,670-674,11.0,8575.0,1.0,10+ years
7550,7550.0,0.0762,36,wedding,14.61%,AZ,MORTGAGE,2512.0,730-734,7.0,2814.0,0.0,5 years
15000,14950.0,0.1521,60,debt_consolidation,14.65%,CA,RENT,5416.67,700-704,11.0,9171.0,2.0,10+ years
1000,1000.0,0.1531,36,debt_consolidation,29.45%,TX,MORTGAGE,2166.67,665-669,9.0,1748.0,0.0,6 years
25000,24798.43,0.1287,36,debt_consolidation,18.81%,MA,RENT,6666.67,720-724,13.0,31890.0,1.0,1 year
1000,1000.0,0.1311,36,debt_consolidation,30.71%,AZ,RENT,1833.33,670-674,7.0,6283.0,0.0,3 years
16000,16000.0,0.0963,60,other,16.58%,SC,OWN,5000.0,780-784,6.0,2300.0,0.0,10+ years
24400,24400.0,0.1727,60,small_business,15.98%,CA,RENT,6000.0,725-729,7.0,13879.0,1.0,3 years
14675,14675.0,0.079,36,debt_consolidation,17.40%,NY,MORTGAGE,3166.67,720-724,7.0,22549.0,0.0,10+ years
12000,12000.0,0.1905,36,credit_card,19.61%,KS,MORTGAGE,4583.33,660-664,8.0,8970.0,0.0,10+ years
8000,8000.0,0.1311,36,credit_card,21.35%,TX,OWN,3541.67,700-704,13.0,6885.0,2.0,n/a
12000,12000.0,0.1311,36,credit_card,8.05%,FL,MORTGAGE,3416.67,685-689,6.0,7708.0,0.0,4 years
14500,14500.0,0.1433,36,debt_consolidation,17.97%,CA,RENT,3500.0,680-684,7.0,10846.0,0.0,6 years
25000,3925.0,0.1663,36,debt_consolidation,18.46%,NJ,RENT,8000.0,680-684,11.0,39502.0,0.0,10+ years
7500,7500.0,0.0976,60,other,14.96%,IL,MORTGAGE,7083.33,780-784,11.0,16449.0,1.0,10+ years
11875,11775.0,0.1038,36,debt_consolidation,22.52%,OR,MORTGAGE,6000.0,730-734,11.0,28210.0,2.0,10+ years
3600,3600.0,0.1367,36,other,16.41%,CA,MORTGAGE,5113.0,690-694,10.0,715.0,1.0,n/a
16000,16000.0,0.1531,36,debt_consolidation,20.10%,TX,RENT,5924.5,695-699,11.0,9365.0,1.0,10+ years
20500,20500.0,0.2328,60,debt_consolidation,24.85%,CA,RENT,4333.33,660-664,13.0,4699.0,0.0,5 years
10000,10000.0,0.1825,36,credit_card,24.14%,CA,RENT,6250.0,665-669,9.0,22828.0,0.0,1 year
15000,15000.0,0.1749,60,debt_consolidation,11.22%,CT,RENT,3333.33,695-699,4.0,6147.0,2.0,n/a
10000,10000.0,0.1199,36,other,21.89%,CA,MORTGAGE,3417.0,680-684,13.0,18069.0,0.0,4 years
11000,11000.0,0.1171,36,debt_consolidation,7.80%,TX,OWN,3820.27,685-689,7.0,6844.0,0.0,2 years
20000,20000.0,0.1171,36,debt_consolidation,15.20%,CA,RENT,4583.33,720-724,15.0,16575.0,2.0,5 years
7000,7000.0,0.1112,36,debt_consolidation,9.06%,TX,RENT,6333.33,715-719,6.0,349.0,0.0,10+ years
10400,10400.0,0.1212,36,credit_card,18.92%,MA,RENT,3333.33,690-694,11.0,11964.0,0.0,10+ years
25000,24975.0,0.1484,36,credit_card,15.88%,NY,RENT,7250.0,705-709,6.0,10770.0,2.0,10+ years
16000,15800.0,0.1743,60,credit_card,13.07%,FL,MORTGAGE,4583.33,675-679,7.0,5729.0,0.0,10+ years
15000,15000.0,0.079,36,major_purchase,22.39%,CA,MORTGAGE,7500.0,725-729,10.0,18756.0,0.0,10+ years
24625,24625.0,0.1972,60,debt_consolidation,20.96%,NY,RENT,5166.67,675-679,14.0,20694.0,0.0,8 years
21850,21850.0,0.1311,36,credit_card,28.08%,MN,RENT,4166.67,690-694,12.0,20497.0,0.0,< 1 year
6000,6000.0,0.1531,36,debt_consolidation,15.68%,NC,MORTGAGE,7500.0,670-674,10.0,5263.0,1.0,3 years
10000,9225.43,0.1221,36,moving,10.45%,MA,RENT,7667.0,700-704,9.0,17328.0,0.0,2 years
5775,5775.0,0.1531,36,debt_consolidation,4.08%,SC,RENT,5000.0,670-674,8.0,10088.0,2.0,10+ years
14475,14475.0,0.1527,36,credit_card,23.69%,NJ,RENT,4166.67,680-684,12.0,13294.0,1.0,3 years
15000,15000.0,0.1212,36,debt_consolidation,14.22%,FL,MORTGAGE,5416.67,700-704,10.0,9237.0,0.0,< 1 year
10000,10000.0,0.1777,36,debt_consolidation,12.41%,PA,MORTGAGE,4166.67,680-684,6.0,31212.0,0.0,8 years
5600,5600.0,0.1349,36,debt_consolidation,18.33%,NY,RENT,2870.33,690-694,6.0,5033.0,2.0,5 years
10000,10000.0,0.1632,60,home_improvement,14.80%,WV,RENT,2290.0,685-689,5.0,394.0,2.0,n/a
13000,13000.0,0.1409,36,debt_consolidation,32.64%,PA,MORTGAGE,5000.0,675-679,8.0,15208.0,0.0,10+ years
15000,10825.0,0.0999,60,debt_consolidation,11.95%,AZ,MORTGAGE,1958.33,745-749,8.0,3584.0,1.0,2 years
2100,2100.0,0.1212,36,credit_card,25.77%,MN,RENT,2555.16,680-684,8.0,21190.0,0.0,10+ years
12000,12000.0,0.1212,36,debt_consolidation,20.48%,NV,MORTGAGE,7666.67,685-689,10.0,5832.0,0.0,2 years
1000,1000.0,0.1316,36,other,19.63%,MI,RENT,3500.0,670-674,9.0,11189.0,2.0,2 years
14000,14000.0,0.079,36,credit_card,21.69%,IL,RENT,3162.25,730-734,12.0,13579.0,0.0,9 years
14000,14000.0,0.1016,36,debt_consolidation,13.44%,CA,RENT,7916.67,690-694,16.0,19621.0,0.0,n/a
20000,3850.0,0.1221,36,debt_consolidation,14.63%,NY,RENT,6000.0,725-729,8.0,28585.0,0.0,10+ years
17000,15865.55,0.1114,36,debt_consolidation,6.65%,AZ,MORTGAGE,6333.33,760-764,7.0,6542.0,1.0,7 years
7350,7350.0,0.1074,60,debt_consolidation,29.82%,WA,MORTGAGE,5000.0,745-749,15.0,15093.0,1.0,4 years
10000,9500.0,0.1025,36,major_purchase,12.93%,NY,RENT,4841.67,775-779,4.0,0.0,1.0,4 years
7000,7000.0,0.0714,36,credit_card,5.44%,MN,MORTGAGE,3807.64,760-764,7.0,7196.0,0.0,5 years
6000,6000.0,0.1212,60,other,9.31%,CA,RENT,9583.33,715-719,12.0,27756.0,0.0,2 years
12000,12000.0,0.1,36,debt_consolidation,12.32%,WI,MORTGAGE,5000.0,715-719,6.0,4515.0,1.0,7 years
4225,4225.0,0.0603,36,small_business,14.52%,NY,MORTGAGE,2583.33,750-754,17.0,3907.0,0.0,4 years
14700,1973.77,0.1229,36,debt_consolidation,21.94%,CT,RENT,3100.0,700-704,14.0,14694.0,2.0,8 years
2500,2500.0,0.0676,36,debt_consolidation,6.99%,WI,MORTGAGE,4750.0,755-759,15.0,4658.0,2.0,4 years
4800,4775.0,0.1484,36,moving,0%,CA,RENT,2500.0,670-674,4.0,0.0,0.0,2 years
6000,6000.0,0.0603,36,credit_card,5.65%,AL,MORTGAGE,7083.33,750-754,15.0,5747.0,0.0,4 years
1800,1800.0,0.1531,36,other,6.79%,OK,MORTGAGE,6416.67,670-674,6.0,3394.0,2.0,7 years
7200,7200.0,0.158,36,debt_consolidation,25.32%,FL,MORTGAGE,3333.33,675-679,13.0,8903.0,1.0,6 years
6000,6000.0,0.1212,36,home_improvement,23.89%,TX,MORTGAGE,8000.0,680-684,8.0,16139.0,0.0,2 years
15300,14850.0,0.1114,36,debt_consolidation,11.31%,OH,MORTGAGE,6833.33,670-674,11.0,7106.0,2.0,10+ years
5000,5000.0,0.0932,36,home_improvement,3.89%,MN,MORTGAGE,2083.33,775-779,4.0,3901.0,2.0,4 years
10500,10500.0,0.1777,36,credit_card,12.33%,PA,MORTGAGE,4583.33,665-669,9.0,18936.0,1.0,5 years
6625,6625.0,0.1777,36,debt_consolidation,11.68%,CA,RENT,10268.25,660-664,9.0,3563.0,0.0,2 years
16000,16000.0,0.2247,60,credit_card,11.27%,CA,RENT,4791.67,665-669,5.0,8474.0,0.0,2 years
22000,22000.0,0.1629,60,debt_consolidation,26.33%,WI,RENT,4166.67,675-679,10.0,25245.0,0.0,5 years
5000,5000.0,0.1521,60,house,10.38%,CA,RENT,6833.33,680-684,11.0,5045.0,1.0,8 years
1500,1500.0,0.1306,36,major_purchase,20.82%,TX,MORTGAGE,7083.33,670-674,8.0,4665.0,1.0,6 years
8000,8000.0,0.0749,36,car,2.86%,CT,MORTGAGE,5666.67,730-734,7.0,5964.0,0.0,10+ years
5000,5000.0,0.0762,36,debt_consolidation,8.43%,OH,MORTGAGE,2916.67,740-744,6.0,12444.0,1.0,10+ years
10000,10000.0,0.1399,36,debt_consolidation,10.73%,NC,RENT,2629.0,685-689,5.0,10029.0,0.0,n/a
8000,8000.0,0.1777,36,small_business,28.56%,MN,RENT,2083.33,670-674,4.0,9059.0,0.0,6 years
24250,24225.0,0.1862,60,debt_consolidation,22.74%,RI,RENT,5000.0,685-689,13.0,14392.0,1.0,2 years
20400,20375.0,0.1465,60,debt_consolidation,10.38%,VA,RENT,6733.33,725-729,8.0,11149.0,2.0,6 years
9000,9000.0,0.0662,36,other,16.14%,MT,RENT,3333.33,740-744,10.0,8689.0,0.0,6 years
16100,16100.0,0.1114,36,debt_consolidation,25.36%,MO,MORTGAGE,6250.0,715-719,14.0,9737.0,0.0,10+ years
4600,4600.0,0.0766,36,debt_consolidation,9.14%,MO,MORTGAGE,6500.0,700-704,9.0,12942.0,0.0,7 years
5000,5000.0,0.1114,36,other,13.61%,NY,RENT,3333.33,685-689,10.0,8436.0,0.0,n/a
5500,5500.0,0.1905,36,home_improvement,2.33%,GA,OWN,7500.0,660-664,3.0,2530.0,1.0,7 years
25000,15800.0,0.1398,60,debt_consolidation,20.23%,PA,MORTGAGE,5416.67,720-724,13.0,21168.0,2.0,10+ years
5000,5000.0,0.1409,36,debt_consolidation,11.18%,AZ,RENT,10625.0,670-674,8.0,8054.0,0.0,1 year
10000,10000.0,0.1465,36,debt_consolidation,12.04%,CA,RENT,2791.67,710-714,6.0,12139.0,1.0,3 years
10000,10000.0,0.1714,36,debt_consolidation,9.59%,MA,RENT,1658.0,680-684,3.0,4902.0,0.0,< 1 year
25000,25000.0,0.2247,60,credit_card,23.62%,TX,MORTGAGE,5000.0,665-669,16.0,25348.0,1.0,3 years
5000,5000.0,0.079,36,debt_consolidation,7.28%,NY,RENT,8666.67,710-714,9.0,4572.0,0.0,1 year
8000,8000.0,0.1727,36,credit_card,7.32%,NY,RENT,5833.33,670-674,8.0,5350.0,2.0,4 years
12000,12000.0,0.1409,36,wedding,15.33%,CA,RENT,8666.67,695-699,10.0,9624.0,1.0,1 year
3000,3000.0,0.0894,36,other,13.42%,NY,RENT,4500.0,720-724,9.0,2541.0,2.0,< 1 year
5000,5000.0,0.0617,60,major_purchase,11.52%,NY,RENT,1667.0,770-774,6.0,1108.0,0.0,3 years
3200,3200.0,0.1016,36,debt_consolidation,16.17%,CA,MORTGAGE,3750.0,705-709,9.0,4283.0,1.0,6 years
7625,7625.0,0.1849,36,credit_card,15.79%,NC,RENT,3166.67,670-674,4.0,8030.0,0.0,5 years
3000,3000.0,0.2211,60,other,0%,MN,OWN,1471.0,690-694,3.0,0.0,0.0,6 years
5000,5000.0,0.1149,36,home_improvement,6.62%,NC,MORTGAGE,3125.0,730-734,4.0,7187.0,1.0,1 year
18500,18500.0,0.1299,36,debt_consolidation,7.96%,NY,RENT,5000.0,685-689,6.0,13490.0,0.0,10+ years
18000,18000.0,0.1409,36,debt_consolidation,15.45%,OR,MORTGAGE,4000.0,690-694,11.0,13877.0,0.0,5 years
4200,4200.0,0.1059,36,car,11.53%,GA,RENT,3000.0,695-699,11.0,10067.0,0.0,7 years
5000,4975.0,0.0729,36,vacation,2.33%,GA,MORTGAGE,5416.67,725-729,8.0,2937.0,1.0,10+ years
19000,19000.0,0.1171,60,credit_card,13.79%,NJ,MORTGAGE,4791.67,730-734,9.0,16348.0,0.0,5 years
15000,15000.0,0.1677,36,debt_consolidation,7.29%,MD,RENT,7916.67,675-679,5.0,5355.0,1.0,6 years
18625,18625.0,0.1972,60,credit_card,22.98%,AL,RENT,4000.0,680-684,15.0,26050.0,2.0,9 years
6075,6075.0,0.0762,36,debt_consolidation,28.25%,OR,RENT,1083.33,720-724,8.0,11539.0,0.0,n/a
5000,5000.0,0.1531,36,debt_consolidation,4.91%,CA,RENT,7083.33,665-669,12.0,8225.0,1.0,5 years
10000,10000.0,0.1212,36,credit_card,23.06%,MA,RENT,3083.33,690-694,14.0,13638.0,0.0,3 years
8000,8000.0,0.1677,36,credit_card,20.99%,TX,RENT,3750.0,660-664,6.0,4010.0,0.0,5 years
20000,19975.0,0.1581,36,debt_consolidation,21.42%,CO,RENT,5000.0,680-684,12.0,24352.0,1.0,< 1 year
9600,9600.0,0.1349,36,credit_card,15.04%,PA,RENT,4250.0,685-689,17.0,7713.0,1.0,1 year
3600,3600.0,0.0976,36,credit_card,11.34%,MI,RENT,2108.33,695-699,14.0,4467.0,0.0,n/a
14075,14075.0,0.1875,36,other,12.96%,NY,RENT,3033.33,690-694,6.0,13036.0,0.0,8 years
3000,3000.0,0.0751,36,major_purchase,11.31%,CT,RENT,3500.0,735-739,9.0,0.0,2.0,3 years
1700,1700.0,0.0699,36,car,5.20%,VA,RENT,2250.0,750-754,4.0,4527.0,0.0,5 years
10750,10166.42,0.1114,36,credit_card,11.91%,MA,MORTGAGE,4416.67,720-724,9.0,12619.0,1.0,2 years
6000,6000.0,0.1596,36,debt_consolidation,24.85%,CA,MORTGAGE,3264.0,660-664,13.0,6347.0,1.0,10+ years
15000,15000.0,0.1016,36,credit_card,18.57%,CA,MORTGAGE,5000.0,700-704,13.0,33389.0,0.0,10+ years
15000,15000.0,0.1433,36,credit_card,16.38%,MD,MORTGAGE,5500.0,700-704,10.0,12413.0,2.0,3 years
10000,10000.0,0.1311,36,credit_card,14.12%,CA,RENT,7500.0,680-684,12.0,3235.0,0.0,6 years
10000,10000.0,0.1099,36,debt_consolidation,8.23%,NY,OWN,5833.33,700-704,15.0,11620.0,0.0,< 1 year
4000,4000.0,0.1523,36,other,10.73%,MA,RENT,2916.67,670-674,6.0,1651.0,1.0,6 years
